date,merchant,amount,category,account
2025-08-14,SHELL OIL 5741,-49.01,transport,credit
2025-08-15,CITY POWER & LIGHT,-87.95,utilities,checking
2025-08-15,BLUE BOTTLE COFFEE,-5.27,coffee,credit
2025-08-15,CHIPOTLE 1123,-21.68,dining,credit
2025-08-16,UBER *TRIP,-35.99,transport,credit
2025-08-17,STARBUCKS #2231,-5.89,coffee,credit
2025-08-17,THAI SPICE,-18.33,dining,credit
2025-08-17,UBER *TRIP,-19.85,transport,credit
2025-08-17,WHOLE FOODS MKT,-64.77,groceries,credit
2025-08-18,METRO TRANSIT,-2.75,transport,checking
2025-08-18,HULU 877-8244858,-7.99,subscriptions,credit
2025-08-18,STARBUCKS #2231,-4.08,coffee,credit
2025-08-18,THAI SPICE,-26.01,dining,credit
2025-08-19,METRO TRANSIT,-2.75,transport,checking
2025-08-19,BLUE BOTTLE COFFEE,-6.75,coffee,credit
2025-08-19,CHIPOTLE 1123,-26.58,dining,credit
2025-08-20,METRO WATER DEPT,-33.21,utilities,checking
2025-08-21,METRO TRANSIT,-2.75,transport,checking
2025-08-21,KROGER #412,-50.66,groceries,credit
2025-08-22,AMAZON MKTPLACE PMTS,-64.50,shopping,credit
2025-08-22,BLUE BOTTLE COFFEE,-6.29,coffee,credit
2025-08-22,NYTIMES DIGITAL,-17.00,subscriptions,credit
2025-08-22,SHELL OIL 5741,-43.09,transport,credit
2025-08-22,THAI SPICE,-24.19,dining,credit
2025-08-22,TRADER JOE'S #551,-53.69,groceries,credit
2025-08-24,METRO TRANSIT,-2.75,transport,checking
2025-08-24,AMAZON MKTPLACE PMTS,-34.14,shopping,credit
2025-08-25,BLUE BOTTLE COFFEE,-5.07,coffee,credit
2025-08-26,METRO TRANSIT,-2.75,transport,checking
2025-08-26,CHIPOTLE 1123,-17.04,dining,credit
2025-08-26,TARGET T-1432,-37.91,shopping,credit
2025-08-27,CHIPOTLE 1123,-20.54,dining,credit
2025-08-27,KROGER #412,-103.96,groceries,credit
2025-08-27,STARBUCKS #2231,-5.87,coffee,credit
2025-08-28,ACME PAYROLL,2841.50,income,checking
2025-08-28,UBER *TRIP,-16.68,transport,credit
2025-08-29,METRO TRANSIT,-2.75,transport,checking
2025-08-30,METRO TRANSIT,-2.75,transport,checking
2025-08-30,SHELL OIL 5741,-39.11,transport,credit
2025-08-30,WHOLE FOODS MKT,-56.96,groceries,credit
2025-08-31,CHIPOTLE 1123,-20.22,dining,credit
2025-08-31,UBER *TRIP,-21.31,transport,credit
2025-09-01,UBER *TRIP,-31.95,transport,credit
2025-09-02,METRO TRANSIT,-2.75,transport,checking
2025-09-02,STARBUCKS #2231,-6.19,coffee,credit
2025-09-02,UBER *TRIP,-20.70,transport,credit
2025-09-03,METRO TRANSIT,-2.75,transport,checking
2025-09-03,OAKWOOD APARTMENTS,-1450.00,rent,checking
2025-09-03,APPLE.COM/BILL ICLOUD,-2.99,subscriptions,credit
2025-09-03,STARBUCKS #2231,-5.79,coffee,credit
2025-09-04,METRO TRANSIT,-2.75,transport,checking
2025-09-04,STARBUCKS #2231,-4.96,coffee,credit
2025-09-05,PLANET FITNESS #1123,-24.99,subscriptions,checking
2025-09-05,STARBUCKS #2231,-6.29,coffee,credit
2025-09-06,CHIPOTLE 1123,-23.81,dining,credit
2025-09-06,TRADER JOE'S #551,-101.74,groceries,credit
2025-09-07,METRO TRANSIT,-2.75,transport,checking
2025-09-07,CVS/PHARMACY #0921,-24.85,health,credit
2025-09-07,NETFLIX.COM,-15.49,subscriptions,credit
2025-09-07,SHELL OIL 5741,-45.37,transport,credit
2025-09-08,METRO TRANSIT,-2.75,transport,checking
2025-09-08,BLUE BOTTLE COFFEE,-6.79,coffee,credit
2025-09-09,METRO TRANSIT,-2.75,transport,checking
2025-09-10,COMCAST CABLE COMM,-69.99,utilities,checking
2025-09-10,TARGET T-1432,-58.38,shopping,credit
2025-09-11,AMAZON MKTPLACE PMTS,-61.55,shopping,credit
2025-09-11,BLUE BOTTLE COFFEE,-6.84,coffee,credit
2025-09-11,CHIPOTLE 1123,-22.20,dining,credit
2025-09-11,WHOLE FOODS MKT,-84.11,groceries,credit
2025-09-12,ACME PAYROLL,2841.50,income,checking
2025-09-12,SPOTIFY USA,-11.99,subscriptions,credit
2025-09-13,METRO TRANSIT,-2.75,transport,checking
2025-09-13,AMAZON MKTPLACE PMTS,-22.99,shopping,credit
2025-09-13,CHIPOTLE 1123,-28.57,dining,credit
2025-09-13,STARBUCKS #2231,-5.61,coffee,credit
2025-09-13,UBER *TRIP,-15.92,transport,credit
2025-09-14,STARBUCKS #2231,-6.95,coffee,credit
2025-09-14,THAI SPICE,-29.61,dining,credit
2025-09-14,UBER *TRIP,-16.68,transport,credit
2025-09-15,CITY POWER & LIGHT,-81.75,utilities,checking
2025-09-15,METRO TRANSIT,-2.75,transport,checking
2025-09-15,BLUE BOTTLE COFFEE,-4.35,coffee,credit
2025-09-15,THAI SPICE,-19.28,dining,credit
2025-09-15,UBER *TRIP,-23.31,transport,credit
2025-09-16,KROGER #412,-70.10,groceries,credit
2025-09-16,STARBUCKS #2231,-6.05,coffee,credit
2025-09-18,METRO TRANSIT,-2.75,transport,checking
2025-09-18,HULU 877-8244858,-7.99,subscriptions,credit
2025-09-18,SHELL OIL 5741,-39.90,transport,credit
2025-09-19,METRO TRANSIT,-2.75,transport,checking
2025-09-20,METRO WATER DEPT,-35.44,utilities,checking
2025-09-20,PANERA BREAD #601,-28.15,dining,credit
2025-09-20,STARBUCKS #2231,-6.53,coffee,credit
2025-09-21,UBER *TRIP,-16.06,transport,credit
2025-09-22,BLUE BOTTLE COFFEE,-5.71,coffee,credit
2025-09-22,NYTIMES DIGITAL,-17.00,subscriptions,credit
2025-09-23,METRO TRANSIT,-2.75,transport,checking
2025-09-23,BLUE BOTTLE COFFEE,-5.35,coffee,credit
2025-09-23,TRADER JOE'S #551,-68.26,groceries,credit
2025-09-24,METRO TRANSIT,-2.75,transport,checking
2025-09-24,PANERA BREAD #601,-26.20,dining,credit
2025-09-24,STARBUCKS #2231,-5.37,coffee,credit
2025-09-25,METRO TRANSIT,-2.75,transport,checking
2025-09-25,UBER *TRIP,-12.84,transport,credit
2025-09-26,ACME PAYROLL,2841.50,income,checking
2025-09-26,AMAZON MKTPLACE PMTS,-47.62,shopping,credit
2025-09-26,THAI SPICE,-22.57,dining,credit
2025-09-28,PANERA BREAD #601,-17.75,dining,credit
2025-09-29,SHELL OIL 5741,-48.32,transport,credit
2025-09-29,STARBUCKS #2231,-5.75,coffee,credit
2025-09-30,METRO TRANSIT,-2.75,transport,checking
2025-09-30,WHOLE FOODS MKT,-79.12,groceries,credit
2025-10-01,METRO TRANSIT,-2.75,transport,checking
2025-10-01,STARBUCKS #2231,-7.46,coffee,credit
2025-10-02,OAKWOOD APARTMENTS,-1450.00,rent,checking
2025-10-02,AMC THEATRES 0412,-37.76,entertainment,credit
2025-10-02,STARBUCKS #2231,-5.25,coffee,credit
2025-10-03,APPLE.COM/BILL ICLOUD,-2.99,subscriptions,credit
2025-10-03,BEST BUY 00412,-570.85,shopping,credit
2025-10-04,PANERA BREAD #601,-16.13,dining,credit
2025-10-05,METRO TRANSIT,-2.75,transport,checking
2025-10-05,PLANET FITNESS #1123,-24.99,subscriptions,checking
2025-10-05,BLUE BOTTLE COFFEE,-4.91,coffee,credit
2025-10-05,PANERA BREAD #601,-20.91,dining,credit
2025-10-06,METRO TRANSIT,-2.75,transport,checking
2025-10-07,METRO TRANSIT,-2.75,transport,checking
2025-10-07,AMAZON MKTPLACE PMTS,-39.14,shopping,credit
2025-10-07,NETFLIX.COM,-15.49,subscriptions,credit
2025-10-08,METRO TRANSIT,-2.75,transport,checking
2025-10-08,BLUE BOTTLE COFFEE,-4.81,coffee,credit
2025-10-09,ACME PAYROLL,2841.50,income,checking
2025-10-09,SHELL OIL 5741,-38.78,transport,credit
2025-10-09,STARBUCKS #2231,-5.78,coffee,credit
2025-10-10,COMCAST CABLE COMM,-69.99,utilities,checking
2025-10-10,PANERA BREAD #601,-15.59,dining,credit
2025-10-11,METRO TRANSIT,-2.75,transport,checking
2025-10-11,WHOLE FOODS MKT,-77.25,groceries,credit
2025-10-12,METRO TRANSIT,-2.75,transport,checking
2025-10-12,SPOTIFY USA,-11.99,subscriptions,credit
2025-10-13,METRO TRANSIT,-2.75,transport,checking
2025-10-14,STARBUCKS #2231,-5.37,coffee,credit
2025-10-15,CITY POWER & LIGHT,-85.93,utilities,checking
2025-10-15,METRO TRANSIT,-2.75,transport,checking
2025-10-15,CHIPOTLE 1123,-24.59,dining,credit
2025-10-15,STARBUCKS #2231,-4.99,coffee,credit
2025-10-16,METRO TRANSIT,-2.75,transport,checking
2025-10-16,BLUE BOTTLE COFFEE,-5.66,coffee,credit
2025-10-16,THAI SPICE,-31.64,dining,credit
2025-10-17,METRO TRANSIT,-2.75,transport,checking
2025-10-17,WHOLE FOODS MKT,-62.32,groceries,credit
2025-10-18,METRO TRANSIT,-2.75,transport,checking
2025-10-18,HULU 877-8244858,-7.99,subscriptions,credit
2025-10-18,THAI SPICE,-19.63,dining,credit
2025-10-18,UBER *TRIP,-23.08,transport,credit
2025-10-19,CVS/PHARMACY #0921,-16.57,health,credit
2025-10-19,UBER *TRIP,-20.32,transport,credit
2025-10-20,METRO TRANSIT,-2.75,transport,checking
2025-10-20,METRO WATER DEPT,-39.09,utilities,checking
2025-10-20,AMAZON MKTPLACE PMTS,-49.15,shopping,credit
2025-10-20,STARBUCKS #2231,-5.66,coffee,credit
2025-10-20,WHOLE FOODS MKT,-109.43,groceries,credit
2025-10-21,METRO TRANSIT,-2.75,transport,checking
2025-10-21,BLUE BOTTLE COFFEE,-4.42,coffee,credit
2025-10-21,KROGER #412,-98.63,groceries,credit
2025-10-21,PANERA BREAD #601,-21.67,dining,credit
2025-10-21,SHELL OIL 5741,-42.90,transport,credit
2025-10-21,UBER *TRIP,-20.08,transport,credit
2025-10-22,NYTIMES DIGITAL,-17.00,subscriptions,credit
2025-10-22,TARGET T-1432,-25.12,shopping,credit
2025-10-23,AMAZON MKTPLACE PMTS,-40.44,shopping,credit
2025-10-23,BLUE BOTTLE COFFEE,-6.63,coffee,credit
2025-10-24,ACME PAYROLL,2841.50,income,checking
2025-10-25,METRO TRANSIT,-2.75,transport,checking
2025-10-26,UBER *TRIP,-21.27,transport,credit
2025-10-27,TRADER JOE'S #551,-75.86,groceries,credit
2025-10-29,METRO TRANSIT,-2.75,transport,checking
2025-10-30,WHOLE FOODS MKT,-91.37,groceries,credit
2025-10-31,METRO TRANSIT,-2.75,transport,checking
2025-10-31,BLUE BOTTLE COFFEE,-4.68,coffee,credit
2025-11-01,OAKWOOD APARTMENTS,-1450.00,rent,checking
2025-11-01,BLUE BOTTLE COFFEE,-6.12,coffee,credit
2025-11-02,METRO TRANSIT,-2.75,transport,checking
2025-11-02,BLUE BOTTLE COFFEE,-4.61,coffee,credit
2025-11-02,SHELL OIL 5741,-44.14,transport,credit
2025-11-02,THAI SPICE,-31.57,dining,credit
2025-11-02,UBER *TRIP,-28.01,transport,credit
2025-11-03,METRO TRANSIT,-2.75,transport,checking
2025-11-03,APPLE.COM/BILL ICLOUD,-2.99,subscriptions,credit
2025-11-03,TRADER JOE'S #551,-50.79,groceries,credit
2025-11-04,METRO TRANSIT,-2.75,transport,checking
2025-11-04,BLUE BOTTLE COFFEE,-5.16,coffee,credit
2025-11-05,PLANET FITNESS #1123,-24.99,subscriptions,checking
2025-11-06,ACME PAYROLL,2841.50,income,checking
2025-11-06,METRO TRANSIT,-2.75,transport,checking
2025-11-06,BLUE BOTTLE COFFEE,-4.29,coffee,credit
2025-11-07,METRO TRANSIT,-2.75,transport,checking
2025-11-07,NETFLIX.COM,-15.49,subscriptions,credit
2025-11-07,STARBUCKS #2231,-5.16,coffee,credit
2025-11-08,METRO TRANSIT,-2.75,transport,checking
2025-11-08,UBER *TRIP,-7.62,transport,credit
2025-11-09,CHIPOTLE 1123,-16.65,dining,credit
2025-11-09,STARBUCKS #2231,-5.09,coffee,credit
2025-11-09,TARGET T-1432,-39.14,shopping,credit
2025-11-10,COMCAST CABLE COMM,-69.99,utilities,checking
2025-11-10,BLUE BOTTLE COFFEE,-5.01,coffee,credit
2025-11-10,TARGET T-1432,-63.42,shopping,credit
2025-11-11,METRO TRANSIT,-2.75,transport,checking
2025-11-12,BLUE BOTTLE COFFEE,-5.97,coffee,credit
2025-11-12,SHELL OIL 5741,-46.01,transport,credit
2025-11-12,SPOTIFY USA,-11.99,subscriptions,credit
2025-11-13,METRO TRANSIT,-2.75,transport,checking
2025-11-13,CVS/PHARMACY #0921,-12.01,health,credit
2025-11-14,METRO TRANSIT,-2.75,transport,checking
2025-11-14,BLUE BOTTLE COFFEE,-6.17,coffee,credit
2025-11-14,UBER *TRIP,-10.64,transport,credit
2025-11-15,CITY POWER & LIGHT,-113.07,utilities,checking
2025-11-15,KROGER #412,-75.90,groceries,credit
2025-11-16,AMAZON MKTPLACE PMTS,-29.60,shopping,credit
2025-11-16,STARBUCKS #2231,-4.27,coffee,credit
2025-11-16,THAI SPICE,-17.51,dining,credit
2025-11-16,WHOLE FOODS MKT,-72.76,groceries,credit
2025-11-17,METRO TRANSIT,-2.75,transport,checking
2025-11-17,AMAZON MKTPLACE PMTS,-46.92,shopping,credit
2025-11-17,BLUE BOTTLE COFFEE,-5.88,coffee,credit
2025-11-18,METRO TRANSIT,-2.75,transport,checking
2025-11-18,AMAZON MKTPLACE PMTS,-49.95,shopping,credit
2025-11-18,HULU 877-8244858,-7.99,subscriptions,credit
2025-11-18,WHOLE FOODS MKT,-74.23,groceries,credit
2025-11-19,METRO TRANSIT,-2.75,transport,checking
2025-11-20,METRO TRANSIT,-2.75,transport,checking
2025-11-20,METRO WATER DEPT,-42.84,utilities,checking
2025-11-21,ACME PAYROLL,2841.50,income,checking
2025-11-21,BLUE BOTTLE COFFEE,-4.87,coffee,credit
2025-11-21,CHIPOTLE 1123,-31.50,dining,credit
2025-11-21,UBER *TRIP,-26.18,transport,credit
2025-11-22,NYTIMES DIGITAL,-17.00,subscriptions,credit
2025-11-22,SHELL OIL 5741,-44.11,transport,credit
2025-11-22,THAI SPICE,-21.18,dining,credit
2025-11-22,WHOLE FOODS MKT,-43.09,groceries,credit
2025-11-23,METRO TRANSIT,-2.75,transport,checking
2025-11-23,CHIPOTLE 1123,-24.51,dining,credit
2025-11-24,AMC THEATRES 0412,-30.93,entertainment,credit
2025-11-24,BLUE BOTTLE COFFEE,-5.15,coffee,credit
2025-11-25,METRO TRANSIT,-2.75,transport,checking
2025-11-25,STARBUCKS #2231,-5.73,coffee,credit
2025-11-26,METRO TRANSIT,-2.75,transport,checking
2025-11-27,METRO TRANSIT,-2.75,transport,checking
2025-11-27,STARBUCKS #2231,-5.01,coffee,credit
2025-11-28,METRO TRANSIT,-2.75,transport,checking
2025-11-28,BLUE BOTTLE COFFEE,-5.08,coffee,credit
2025-11-28,KROGER #412,-66.84,groceries,credit
2025-11-28,UBER *TRIP,-14.71,transport,credit
2025-11-29,KROGER #412,-50.67,groceries,credit
2025-11-30,CHIPOTLE 1123,-19.86,dining,credit
2025-11-30,UBER *TRIP,-28.04,transport,credit
2025-12-01,METRO TRANSIT,-2.75,transport,checking
2025-12-01,OAKWOOD APARTMENTS,-1450.00,rent,checking
2025-12-01,SHELL OIL 5741,-40.93,transport,credit
2025-12-02,CHIPOTLE 1123,-20.53,dining,credit
2025-12-03,METRO TRANSIT,-2.75,transport,checking
2025-12-03,AMAZON MKTPLACE PMTS,-54.05,shopping,credit
2025-12-03,APPLE.COM/BILL ICLOUD,-2.99,subscriptions,credit
2025-12-03,TRADER JOE'S #551,-52.98,groceries,credit
2025-12-04,METRO TRANSIT,-2.75,transport,checking
2025-12-04,AMAZON MKTPLACE PMTS,-80.92,shopping,credit
2025-12-04,BEST BUY 00412,-1134.81,shopping,credit
2025-12-04,TARGET T-1432,-106.26,shopping,credit
2025-12-05,ACME PAYROLL,2841.50,income,checking
2025-12-05,METRO TRANSIT,-2.75,transport,checking
2025-12-05,PLANET FITNESS #1123,-24.99,subscriptions,checking
2025-12-05,STARBUCKS #2231,-3.83,coffee,credit
2025-12-06,STARBUCKS #2231,-7.00,coffee,credit
2025-12-07,METRO TRANSIT,-2.75,transport,checking
2025-12-07,AMAZON MKTPLACE PMTS,-122.90,shopping,credit
2025-12-07,NETFLIX.COM,-15.49,subscriptions,credit
2025-12-07,TARGET T-1432,-41.23,shopping,credit
2025-12-07,THAI SPICE,-22.05,dining,credit
2025-12-09,METRO TRANSIT,-2.75,transport,checking
2025-12-09,AMAZON MKTPLACE PMTS,-51.63,shopping,credit
2025-12-09,BLUE BOTTLE COFFEE,-4.65,coffee,credit
2025-12-09,SHELL OIL 5741,-42.45,transport,credit
2025-12-10,COMCAST CABLE COMM,-69.99,utilities,checking
2025-12-10,BLUE BOTTLE COFFEE,-5.95,coffee,credit
2025-12-11,METRO TRANSIT,-2.75,transport,checking
2025-12-11,AMAZON MKTPLACE PMTS,-81.68,shopping,credit
2025-12-11,STARBUCKS #2231,-4.40,coffee,credit
2025-12-11,TARGET T-1432,-85.53,shopping,credit
2025-12-11,TRADER JOE'S #551,-67.34,groceries,credit
2025-12-12,METRO TRANSIT,-2.75,transport,checking
2025-12-12,SPOTIFY USA,-11.99,subscriptions,credit
2025-12-12,TARGET T-1432,-34.53,shopping,credit
2025-12-13,METRO TRANSIT,-2.75,transport,checking
2025-12-13,CHIPOTLE 1123,-21.63,dining,credit
2025-12-13,WHOLE FOODS MKT,-80.90,groceries,credit
2025-12-14,PANERA BREAD #601,-32.65,dining,credit
2025-12-14,STARBUCKS #2231,-7.48,coffee,credit
2025-12-15,CITY POWER & LIGHT,-156.14,utilities,checking
2025-12-15,STARBUCKS #2231,-4.55,coffee,credit
2025-12-16,METRO TRANSIT,-2.75,transport,checking
2025-12-16,AMAZON MKTPLACE PMTS,-37.89,shopping,credit
2025-12-16,BLUE BOTTLE COFFEE,-4.24,coffee,credit
2025-12-17,METRO TRANSIT,-2.75,transport,checking
2025-12-17,STARBUCKS #2231,-5.19,coffee,credit
2025-12-18,ACME PAYROLL,2841.50,income,checking
2025-12-18,METRO TRANSIT,-2.75,transport,checking
2025-12-18,HULU 877-8244858,-7.99,subscriptions,credit
2025-12-18,PANERA BREAD #601,-25.65,dining,credit
2025-12-18,STARBUCKS #2231,-7.26,coffee,credit
2025-12-18,TRADER JOE'S #551,-102.05,groceries,credit
2025-12-19,METRO TRANSIT,-2.75,transport,checking
2025-12-19,CHIPOTLE 1123,-25.05,dining,credit
2025-12-19,TARGET T-1432,-39.76,shopping,credit
2025-12-19,TRADER JOE'S #551,-78.61,groceries,credit
2025-12-20,METRO WATER DEPT,-41.45,utilities,checking
2025-12-21,METRO TRANSIT,-2.75,transport,checking
2025-12-21,AMAZON MKTPLACE PMTS,-162.76,shopping,credit
2025-12-21,CHIPOTLE 1123,-16.72,dining,credit
2025-12-21,SHELL OIL 5741,-42.91,transport,credit
2025-12-22,NYTIMES DIGITAL,-17.00,subscriptions,credit
2025-12-22,STARBUCKS #2231,-5.77,coffee,credit
2025-12-23,METRO TRANSIT,-2.75,transport,checking
2025-12-23,CVS/PHARMACY #0921,-17.17,health,credit
2025-12-23,STARBUCKS #2231,-5.65,coffee,credit
2025-12-24,STARBUCKS #2231,-6.60,coffee,credit
2025-12-27,METRO TRANSIT,-2.75,transport,checking
2025-12-27,WHOLE FOODS MKT,-72.96,groceries,credit
2025-12-28,METRO TRANSIT,-2.75,transport,checking
2025-12-28,PANERA BREAD #601,-18.04,dining,credit
2025-12-29,METRO TRANSIT,-2.75,transport,checking
2025-12-30,METRO TRANSIT,-2.75,transport,checking
2026-01-01,ACME PAYROLL,2841.50,income,checking
2026-01-01,STARBUCKS #2231,-5.22,coffee,credit
2026-01-01,THAI SPICE,-16.49,dining,credit
2026-01-02,SHELL OIL 5741,-44.40,transport,credit
2026-01-02,STARBUCKS #2231,-4.26,coffee,credit
2026-01-03,OAKWOOD APARTMENTS,-1450.00,rent,checking
2026-01-03,AMAZON MKTPLACE PMTS,-29.54,shopping,credit
2026-01-03,APPLE.COM/BILL ICLOUD,-2.99,subscriptions,credit
2026-01-03,CHIPOTLE 1123,-22.57,dining,credit
2026-01-03,KROGER #412,-56.88,groceries,credit
2026-01-04,METRO TRANSIT,-2.75,transport,checking
2026-01-04,BLUE BOTTLE COFFEE,-4.32,coffee,credit
2026-01-04,PANERA BREAD #601,-22.44,dining,credit
2026-01-05,PLANET FITNESS #1123,-24.99,subscriptions,checking
2026-01-05,BLUE BOTTLE COFFEE,-6.23,coffee,credit
2026-01-05,CHIPOTLE 1123,-24.62,dining,credit
2026-01-06,CHIPOTLE 1123,-18.24,dining,credit
2026-01-06,STARBUCKS #2231,-7.86,coffee,credit
2026-01-06,WHOLE FOODS MKT,-91.01,groceries,credit
2026-01-07,METRO TRANSIT,-2.75,transport,checking
2026-01-07,NETFLIX.COM,-15.49,subscriptions,credit
2026-01-07,UBER *TRIP,-17.04,transport,credit
2026-01-08,METRO TRANSIT,-2.75,transport,checking
2026-01-08,STARBUCKS #2231,-5.86,coffee,credit
2026-01-09,STARBUCKS #2231,-5.36,coffee,credit
2026-01-10,COMCAST CABLE COMM,-69.99,utilities,checking
2026-01-10,METRO TRANSIT,-2.75,transport,checking
2026-01-10,CHIPOTLE 1123,-20.74,dining,credit
2026-01-11,TRADER JOE'S #551,-103.63,groceries,credit
2026-01-11,UBER *TRIP,-21.39,transport,credit
2026-01-12,METRO TRANSIT,-2.75,transport,checking
2026-01-12,SHELL OIL 5741,-42.19,transport,credit
2026-01-12,SPOTIFY USA,-11.99,subscriptions,credit
2026-01-12,TRADER JOE'S #551,-71.04,groceries,credit
2026-01-13,METRO TRANSIT,-2.75,transport,checking
2026-01-13,TARGET T-1432,-22.55,shopping,credit
2026-01-14,METRO TRANSIT,-2.75,transport,checking
2026-01-14,BLUE BOTTLE COFFEE,-5.15,coffee,credit
2026-01-15,ACME PAYROLL,2841.50,income,checking
2026-01-15,CITY POWER & LIGHT,-147.53,utilities,checking
2026-01-15,METRO TRANSIT,-2.75,transport,checking
2026-01-15,BLUE BOTTLE COFFEE,-5.12,coffee,credit
2026-01-16,METRO TRANSIT,-2.75,transport,checking
2026-01-16,STARBUCKS #2231,-6.89,coffee,credit
2026-01-17,CHIPOTLE 1123,-34.26,dining,credit
2026-01-18,BLUE BOTTLE COFFEE,-5.13,coffee,credit
2026-01-18,HULU 877-8244858,-7.99,subscriptions,credit
2026-01-19,UBER *TRIP,-16.93,transport,credit
2026-01-20,METRO TRANSIT,-2.75,transport,checking
2026-01-20,METRO WATER DEPT,-36.97,utilities,checking
2026-01-20,CHIPOTLE 1123,-17.59,dining,credit
2026-01-20,SHELL OIL 5741,-42.29,transport,credit
2026-01-21,METRO TRANSIT,-2.75,transport,checking
2026-01-21,BLUE BOTTLE COFFEE,-6.34,coffee,credit
2026-01-21,UBER *TRIP,-15.53,transport,credit
2026-01-22,METRO TRANSIT,-2.75,transport,checking
2026-01-22,BLUE BOTTLE COFFEE,-4.86,coffee,credit
2026-01-22,NYTIMES DIGITAL,-17.00,subscriptions,credit
2026-01-23,METRO TRANSIT,-2.75,transport,checking
2026-01-23,CVS/PHARMACY #0921,-15.77,health,credit
2026-01-23,TRADER JOE'S #551,-62.61,groceries,credit
2026-01-24,METRO TRANSIT,-2.75,transport,checking
2026-01-25,THAI SPICE,-18.53,dining,credit
2026-01-25,WHOLE FOODS MKT,-58.79,groceries,credit
2026-01-26,METRO TRANSIT,-2.75,transport,checking
2026-01-26,BLUE BOTTLE COFFEE,-5.30,coffee,credit
2026-01-26,THAI SPICE,-22.34,dining,credit
2026-01-27,METRO TRANSIT,-2.75,transport,checking
2026-01-27,STARBUCKS #2231,-4.71,coffee,credit
2026-01-28,METRO TRANSIT,-2.75,transport,checking
2026-01-28,BLUE BOTTLE COFFEE,-6.44,coffee,credit
2026-01-28,UBER *TRIP,-19.44,transport,credit
2026-01-29,ACME PAYROLL,2841.50,income,checking
2026-01-29,METRO TRANSIT,-2.75,transport,checking
2026-01-30,METRO TRANSIT,-2.75,transport,checking
2026-01-30,PANERA BREAD #601,-22.21,dining,credit
2026-01-30,SHELL OIL 5741,-41.88,transport,credit
2026-01-30,STARBUCKS #2231,-4.75,coffee,credit
2026-01-31,KROGER #412,-62.96,groceries,credit
2026-01-31,UBER *TRIP,-21.89,transport,credit
2026-02-02,OAKWOOD APARTMENTS,-1450.00,rent,checking
2026-02-02,STARBUCKS #2231,-6.11,coffee,credit
2026-02-03,APPLE.COM/BILL ICLOUD,-2.99,subscriptions,credit
2026-02-03,STARBUCKS #2231,-5.49,coffee,credit
2026-02-03,TARGET T-1432,-49.14,shopping,credit
2026-02-03,TRADER JOE'S #551,-81.32,groceries,credit
2026-02-04,METRO TRANSIT,-2.75,transport,checking
2026-02-04,AMAZON MKTPLACE PMTS,-31.05,shopping,credit
2026-02-04,BLUE BOTTLE COFFEE,-5.33,coffee,credit
2026-02-04,UBER *TRIP,-15.87,transport,credit
2026-02-05,METRO TRANSIT,-2.75,transport,checking
2026-02-05,PLANET FITNESS #1123,-24.99,subscriptions,checking
2026-02-06,CVS/PHARMACY #0921,-23.07,health,credit
2026-02-07,NETFLIX.COM,-15.49,subscriptions,credit
2026-02-07,SHELL OIL 5741,-52.37,transport,credit
