Transaction Date,Description ,Amount,Transaction Type
09/10/2026,COMCAST CABLE COMM,$69.99,DEBIT
09/09/2026,PARAMOUNT+ SUBSCRIPTION,$12.99,DEBIT
09/09/2026,PANERA BREAD #601,$34.82,DEBIT
09/09/2026,METRO TRANSIT,$2.75,DEBIT
09/08/2026,THAI SPICE,$38.37,DEBIT
09/08/2026,STARBUCKS #2231,$5.53,DEBIT
09/08/2026,AMAZON MKTPLACE PMTS,$48.29,DEBIT
09/08/2026,METRO TRANSIT,$2.75,DEBIT
09/07/2026,NETFLIX.COM,$17.99,DEBIT
09/07/2026,BLUE BOTTLE COFFEE,$6.32,DEBIT
09/07/2026,METRO TRANSIT,$2.75,DEBIT
09/05/2026,SHELL OIL 5741,$38.99,DEBIT
09/05/2026,CHIPOTLE 1123,$16.38,DEBIT
09/05/2026,METRO TRANSIT,$2.75,DEBIT
09/04/2026,PANERA BREAD #601,$10.99,DEBIT
09/04/2026,KROGER #412,$89.29,DEBIT
09/04/2026,BLUE BOTTLE COFFEE,$5.41,DEBIT
09/04/2026,AMAZON MKTPLACE PMTS,$12.56,DEBIT
09/04/2026,METRO TRANSIT,$2.75,DEBIT
09/03/2026,BLUE BOTTLE COFFEE,$5.61,DEBIT
09/03/2026,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
09/03/2026,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
09/03/2026,METRO TRANSIT,$2.75,DEBIT
09/02/2026,BLUE BOTTLE COFFEE,$7.01,DEBIT
09/02/2026,METRO TRANSIT,$2.75,DEBIT
09/01/2026,WHOLE FOODS MKT,$74.34,DEBIT
09/01/2026,UBER *TRIP,$16.89,DEBIT
09/01/2026,AMAZON MKTPLACE PMTS,$70.75,DEBIT
09/01/2026,METRO TRANSIT,$2.75,DEBIT
08/31/2026,STARBUCKS #2231,$5.50,DEBIT
08/30/2026,UBER *TRIP,$14.92,DEBIT
08/30/2026,TRADER JOE'S #551,$77.20,DEBIT
08/30/2026,STARBUCKS #2231,$5.91,DEBIT
08/30/2026,PANERA BREAD #601,$20.66,DEBIT
08/30/2026,METRO TRANSIT,$2.75,DEBIT
08/29/2026,WHOLE FOODS MKT,$77.74,DEBIT
08/29/2026,THAI SPICE,$26.56,DEBIT
08/29/2026,METRO TRANSIT,$2.75,DEBIT
08/28/2026,UBER *TRIP,$15.19,DEBIT
08/28/2026,STARBUCKS #2231,$5.89,DEBIT
08/28/2026,AMC THEATRES 0412,$25.88,DEBIT
08/27/2026,SHELL OIL 5741,$38.73,DEBIT
08/27/2026,CHIPOTLE 1123,$11.64,DEBIT
08/27/2026,METRO TRANSIT,$2.75,DEBIT
08/27/2026,ACME PAYROLL,"$2,841.50",CREDIT
08/26/2026,METRO TRANSIT,$2.75,DEBIT
08/25/2026,TARGET T-1432,$38.61,DEBIT
08/25/2026,BLUE BOTTLE COFFEE,$3.18,DEBIT
08/25/2026,METRO TRANSIT,$2.75,DEBIT
08/23/2026,PANERA BREAD #601,$18.65,DEBIT
08/23/2026,BLUE BOTTLE COFFEE,$5.74,DEBIT
08/23/2026,METRO TRANSIT,$2.75,DEBIT
08/22/2026,NYTIMES DIGITAL,$17.00,DEBIT
08/21/2026,UBER *TRIP,$12.75,DEBIT
08/20/2026,WHOLE FOODS MKT,$53.59,DEBIT
08/20/2026,METRO WATER DEPT,$31.16,DEBIT
08/20/2026,METRO TRANSIT,$2.75,DEBIT
08/19/2026,SHELL OIL 5741,$43.42,DEBIT
08/18/2026,HULU 877-8244858,$7.99,DEBIT
08/18/2026,BLUE BOTTLE COFFEE,$6.58,DEBIT
08/18/2026,METRO TRANSIT,$2.75,DEBIT
08/17/2026,UBER *TRIP,$19.83,DEBIT
08/16/2026,METRO TRANSIT,$2.75,DEBIT
08/15/2026,TRADER JOE'S #551,$77.40,DEBIT
08/15/2026,CITY POWER & LIGHT,$75.20,DEBIT
08/13/2026,BLUE BOTTLE COFFEE,$6.26,DEBIT
08/13/2026,ACME PAYROLL,"$2,841.50",CREDIT
08/12/2026,SPOTIFY USA,$11.99,DEBIT
08/12/2026,PANERA BREAD #601,$23.46,DEBIT
08/12/2026,METRO TRANSIT,$2.75,DEBIT
08/11/2026,THAI SPICE,$12.92,DEBIT
08/11/2026,STARBUCKS #2231,$5.43,DEBIT
08/10/2026,SHELL OIL 5741,$42.95,DEBIT
08/10/2026,METRO TRANSIT,$2.75,DEBIT
08/10/2026,COMCAST CABLE COMM,$69.99,DEBIT
08/09/2026,PANERA BREAD #601,$27.03,DEBIT
08/08/2026,METRO TRANSIT,$2.75,DEBIT
08/07/2026,WHOLE FOODS MKT,$78.43,DEBIT
08/07/2026,NETFLIX.COM,$15.49,DEBIT
08/06/2026,UBER *TRIP,$14.93,DEBIT
08/06/2026,CHIPOTLE 1123,$21.87,DEBIT
08/06/2026,BLUE BOTTLE COFFEE,$7.04,DEBIT
08/05/2026,UBER *TRIP,$17.88,DEBIT
08/05/2026,STARBUCKS #2231,$6.55,DEBIT
08/05/2026,CVS/PHARMACY #0921,$12.84,DEBIT
08/05/2026,PLANET FITNESS #1123,$24.99,DEBIT
08/05/2026,METRO TRANSIT,$2.75,DEBIT
08/04/2026,METRO TRANSIT,$2.75,DEBIT
08/03/2026,BLUE BOTTLE COFFEE,$5.50,DEBIT
08/03/2026,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
08/02/2026,SHELL OIL 5741,$37.72,DEBIT
08/02/2026,BLUE BOTTLE COFFEE,$7.29,DEBIT
08/02/2026,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
08/02/2026,METRO TRANSIT,$2.75,DEBIT
08/01/2026,UBER *TRIP,$11.92,DEBIT
08/01/2026,PANERA BREAD #601,$26.84,DEBIT
08/01/2026,AMAZON MKTPLACE PMTS,$82.86,DEBIT
07/31/2026,METRO TRANSIT,$2.75,DEBIT
07/31/2026,ACME PAYROLL,"$2,841.50",CREDIT
07/30/2026,METRO TRANSIT,$2.75,DEBIT
07/28/2026,UBER *TRIP,$23.42,DEBIT
07/28/2026,STARBUCKS #2231,$5.36,DEBIT
07/28/2026,CHIPOTLE 1123,$13.30,DEBIT
07/28/2026,METRO TRANSIT,$2.75,DEBIT
07/27/2026,KROGER #412,$64.71,DEBIT
07/27/2026,CHIPOTLE 1123,$29.65,DEBIT
07/27/2026,BLUE BOTTLE COFFEE,$5.60,DEBIT
07/27/2026,METRO TRANSIT,$2.75,DEBIT
07/26/2026,THAI SPICE,$18.82,DEBIT
07/26/2026,TARGET T-1432,$75.87,DEBIT
07/25/2026,KROGER #412,$49.92,DEBIT
07/24/2026,SHELL OIL 5741,$45.19,DEBIT
07/24/2026,METRO TRANSIT,$2.75,DEBIT
07/23/2026,METRO TRANSIT,$2.75,DEBIT
07/22/2026,NYTIMES DIGITAL,$17.00,DEBIT
07/22/2026,BLUE BOTTLE COFFEE,$6.82,DEBIT
07/22/2026,METRO TRANSIT,$2.75,DEBIT
07/21/2026,BLUE BOTTLE COFFEE,$6.54,DEBIT
07/21/2026,BEST BUY 00412,"$1,169.61",DEBIT
07/21/2026,METRO TRANSIT,$2.75,DEBIT
07/20/2026,PANERA BREAD #601,$24.15,DEBIT
07/20/2026,KROGER #412,$70.14,DEBIT
07/20/2026,METRO WATER DEPT,$35.73,DEBIT
07/20/2026,METRO TRANSIT,$2.75,DEBIT
07/19/2026,CHIPOTLE 1123,$25.52,DEBIT
07/19/2026,BLUE BOTTLE COFFEE,$5.84,DEBIT
07/19/2026,AMC THEATRES 0412,$38.07,DEBIT
07/18/2026,TRADER JOE'S #551,$54.61,DEBIT
07/18/2026,HULU 877-8244858,$7.99,DEBIT
07/18/2026,METRO TRANSIT,$2.75,DEBIT
07/17/2026,STARBUCKS #2231,$4.68,DEBIT
07/16/2026,METRO TRANSIT,$2.75,DEBIT
07/16/2026,ACME PAYROLL,"$2,841.50",CREDIT
07/15/2026,UBER *TRIP,$21.31,DEBIT
07/15/2026,METRO TRANSIT,$2.75,DEBIT
07/15/2026,CITY POWER & LIGHT,$88.57,DEBIT
07/14/2026,UBER *TRIP,$20.60,DEBIT
07/14/2026,SHELL OIL 5741,$41.73,DEBIT
07/14/2026,BLUE BOTTLE COFFEE,$5.56,DEBIT
07/14/2026,METRO TRANSIT,$2.75,DEBIT
07/13/2026,STARBUCKS #2231,$5.32,DEBIT
07/13/2026,AMAZON MKTPLACE PMTS,$38.15,DEBIT
07/13/2026,METRO TRANSIT,$2.75,DEBIT
07/12/2026,SPOTIFY USA,$11.99,DEBIT
07/12/2026,KROGER #412,$67.02,DEBIT
07/11/2026,THAI SPICE,$17.85,DEBIT
07/11/2026,BLUE BOTTLE COFFEE,$4.37,DEBIT
07/10/2026,CVS/PHARMACY #0921,$31.13,DEBIT
07/10/2026,METRO TRANSIT,$2.75,DEBIT
07/10/2026,COMCAST CABLE COMM,$69.99,DEBIT
07/09/2026,AMAZON MKTPLACE PMTS,$18.47,DEBIT
07/08/2026,METRO TRANSIT,$2.75,DEBIT
07/07/2026,TRADER JOE'S #551,$53.55,DEBIT
07/07/2026,TARGET T-1432,$50.45,DEBIT
07/07/2026,NETFLIX.COM,$15.49,DEBIT
07/07/2026,BLUE BOTTLE COFFEE,$5.91,DEBIT
07/07/2026,METRO TRANSIT,$2.75,DEBIT
07/06/2026,BLUE BOTTLE COFFEE,$4.97,DEBIT
07/06/2026,METRO TRANSIT,$2.75,DEBIT
07/05/2026,WHOLE FOODS MKT,$94.39,DEBIT
07/05/2026,UBER *TRIP,$33.76,DEBIT
07/05/2026,STARBUCKS #2231,$4.85,DEBIT
07/05/2026,PLANET FITNESS #1123,$24.99,DEBIT
07/04/2026,WHOLE FOODS MKT,$71.01,DEBIT
07/04/2026,UBER *TRIP,$17.14,DEBIT
07/04/2026,SHELL OIL 5741,$40.50,DEBIT
07/04/2026,PANERA BREAD #601,$19.67,DEBIT
07/04/2026,METRO TRANSIT,$2.75,DEBIT
07/03/2026,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
07/03/2026,AMAZON MKTPLACE PMTS,$37.91,DEBIT
07/03/2026,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
07/02/2026,METRO TRANSIT,$2.75,DEBIT
07/02/2026,ACME PAYROLL,"$2,841.50",CREDIT
07/01/2026,STARBUCKS #2231,$4.26,DEBIT
07/01/2026,METRO TRANSIT,$2.75,DEBIT
06/30/2026,CHIPOTLE 1123,$22.54,DEBIT
06/29/2026,BLUE BOTTLE COFFEE,$5.16,DEBIT
06/28/2026,WHOLE FOODS MKT,$68.01,DEBIT
06/28/2026,CHIPOTLE 1123,$21.79,DEBIT
06/27/2026,THAI SPICE,$26.70,DEBIT
06/27/2026,AMC THEATRES 0412,$27.77,DEBIT
06/26/2026,CHIPOTLE 1123,$18.35,DEBIT
06/26/2026,BLUE BOTTLE COFFEE,$6.34,DEBIT
06/26/2026,METRO TRANSIT,$2.75,DEBIT
06/25/2026,METRO TRANSIT,$2.75,DEBIT
06/24/2026,WHOLE FOODS MKT,$62.87,DEBIT
06/24/2026,TARGET T-1432,$62.93,DEBIT
06/24/2026,SHELL OIL 5741,$46.12,DEBIT
06/24/2026,METRO TRANSIT,$2.75,DEBIT
06/23/2026,UBER *TRIP,$25.23,DEBIT
06/23/2026,STARBUCKS #2231,$5.69,DEBIT
06/22/2026,NYTIMES DIGITAL,$17.00,DEBIT
06/22/2026,METRO TRANSIT,$2.75,DEBIT
06/21/2026,BLUE BOTTLE COFFEE,$5.49,DEBIT
06/20/2026,UBER *TRIP,$11.73,DEBIT
06/20/2026,PANERA BREAD #601,$21.08,DEBIT
06/20/2026,METRO WATER DEPT,$33.17,DEBIT
06/20/2026,METRO TRANSIT,$2.75,DEBIT
06/19/2026,UBER *TRIP,$11.97,DEBIT
06/19/2026,THAI SPICE,$14.00,DEBIT
06/18/2026,STARBUCKS #2231,$4.14,DEBIT
06/18/2026,HULU 877-8244858,$7.99,DEBIT
06/18/2026,METRO TRANSIT,$2.75,DEBIT
06/18/2026,ACME PAYROLL,"$2,841.50",CREDIT
06/17/2026,METRO TRANSIT,$2.75,DEBIT
06/16/2026,AMAZON MKTPLACE PMTS,$101.45,DEBIT
06/16/2026,METRO TRANSIT,$2.75,DEBIT
06/15/2026,SHELL OIL 5741,$39.18,DEBIT
06/15/2026,KROGER #412,$48.33,DEBIT
06/15/2026,CITY POWER & LIGHT,$75.52,DEBIT
06/14/2026,UBER *TRIP,$24.21,DEBIT
06/14/2026,METRO TRANSIT,$2.75,DEBIT
06/13/2026,WHOLE FOODS MKT,$68.27,DEBIT
06/12/2026,SPOTIFY USA,$11.99,DEBIT
06/11/2026,UBER *TRIP,$20.66,DEBIT
06/11/2026,STARBUCKS #2231,$5.73,DEBIT
06/10/2026,CHIPOTLE 1123,$33.51,DEBIT
06/10/2026,METRO TRANSIT,$2.75,DEBIT
06/10/2026,COMCAST CABLE COMM,$69.99,DEBIT
06/09/2026,STARBUCKS #2231,$5.46,DEBIT
06/09/2026,CHIPOTLE 1123,$30.27,DEBIT
06/09/2026,METRO TRANSIT,$2.75,DEBIT
06/07/2026,THAI SPICE,$22.15,DEBIT
06/07/2026,STARBUCKS #2231,$6.23,DEBIT
06/07/2026,NETFLIX.COM,$15.49,DEBIT
06/07/2026,KROGER #412,$84.84,DEBIT
06/06/2026,CVS/PHARMACY #0921,$23.33,DEBIT
06/06/2026,METRO TRANSIT,$2.75,DEBIT
06/05/2026,STARBUCKS #2231,$5.57,DEBIT
06/05/2026,SHELL OIL 5741,$39.08,DEBIT
06/05/2026,PANERA BREAD #601,$18.05,DEBIT
06/05/2026,PLANET FITNESS #1123,$24.99,DEBIT
06/05/2026,METRO TRANSIT,$2.75,DEBIT
06/05/2026,ACME PAYROLL,"$2,841.50",CREDIT
06/04/2026,UBER *TRIP,$20.04,DEBIT
06/03/2026,STARBUCKS #2231,$5.45,DEBIT
06/03/2026,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
06/03/2026,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
06/03/2026,METRO TRANSIT,$2.75,DEBIT
06/02/2026,PANERA BREAD #601,$22.48,DEBIT
06/01/2026,STARBUCKS #2231,$4.75,DEBIT
06/01/2026,METRO TRANSIT,$2.75,DEBIT
05/31/2026,UBER *TRIP,$18.50,DEBIT
05/31/2026,STARBUCKS #2231,$5.73,DEBIT
05/30/2026,WHOLE FOODS MKT,$62.54,DEBIT
05/30/2026,METRO TRANSIT,$2.75,DEBIT
05/29/2026,CHIPOTLE 1123,$25.30,DEBIT
05/28/2026,STARBUCKS #2231,$5.53,DEBIT
05/28/2026,METRO TRANSIT,$2.75,DEBIT
05/27/2026,SHELL OIL 5741,$55.04,DEBIT
05/27/2026,CVS/PHARMACY #0921,$29.63,DEBIT
05/27/2026,BLUE BOTTLE COFFEE,$5.11,DEBIT
05/25/2026,WHOLE FOODS MKT,$80.05,DEBIT
05/25/2026,CHIPOTLE 1123,$19.05,DEBIT
05/25/2026,METRO TRANSIT,$2.75,DEBIT
05/24/2026,METRO TRANSIT,$2.75,DEBIT
05/23/2026,PANERA BREAD #601,$26.75,DEBIT
05/22/2026,NYTIMES DIGITAL,$17.00,DEBIT
05/22/2026,BLUE BOTTLE COFFEE,$5.81,DEBIT
05/22/2026,METRO TRANSIT,$2.75,DEBIT
05/22/2026,ACME PAYROLL,"$2,841.50",CREDIT
05/20/2026,PANERA BREAD #601,$30.38,DEBIT
05/20/2026,BLUE BOTTLE COFFEE,$5.61,DEBIT
05/20/2026,METRO WATER DEPT,$32.82,DEBIT
05/19/2026,TRADER JOE'S #551,$63.07,DEBIT
05/19/2026,CHIPOTLE 1123,$21.76,DEBIT
05/19/2026,BLUE BOTTLE COFFEE,$7.15,DEBIT
05/18/2026,STARBUCKS #2231,$5.53,DEBIT
05/18/2026,SHELL OIL 5741,$40.63,DEBIT
05/18/2026,HULU 877-8244858,$7.99,DEBIT
05/18/2026,METRO TRANSIT,$2.75,DEBIT
05/17/2026,WHOLE FOODS MKT,$78.93,DEBIT
05/17/2026,UBER *TRIP,$27.95,DEBIT
05/17/2026,METRO TRANSIT,$2.75,DEBIT
05/16/2026,UBER *TRIP,$15.99,DEBIT
05/16/2026,PANERA BREAD #601,$18.41,DEBIT
05/16/2026,BLUE BOTTLE COFFEE,$4.91,DEBIT
05/16/2026,BEST BUY 00412,$395.31,DEBIT
05/15/2026,BLUE BOTTLE COFFEE,$4.64,DEBIT
05/15/2026,METRO TRANSIT,$2.75,DEBIT
05/15/2026,CITY POWER & LIGHT,$83.73,DEBIT
05/14/2026,BLUE BOTTLE COFFEE,$6.95,DEBIT
05/13/2026,THAI SPICE,$19.47,DEBIT
05/13/2026,BLUE BOTTLE COFFEE,$3.68,DEBIT
05/12/2026,SPOTIFY USA,$11.99,DEBIT
05/12/2026,METRO TRANSIT,$2.75,DEBIT
05/10/2026,UBER *TRIP,$15.07,DEBIT
05/10/2026,TRADER JOE'S #551,$45.36,DEBIT
05/10/2026,STARBUCKS #2231,$4.00,DEBIT
05/10/2026,CHIPOTLE 1123,$17.66,DEBIT
05/10/2026,COMCAST CABLE COMM,$69.99,DEBIT
05/09/2026,SHELL OIL 5741,$47.64,DEBIT
05/08/2026,TARGET T-1432,$50.35,DEBIT
05/08/2026,BLUE BOTTLE COFFEE,$4.62,DEBIT
05/07/2026,NETFLIX.COM,$15.49,DEBIT
05/07/2026,METRO TRANSIT,$2.75,DEBIT
05/07/2026,ACME PAYROLL,"$2,841.50",CREDIT
05/06/2026,METRO TRANSIT,$2.75,DEBIT
05/05/2026,CHIPOTLE 1123,$18.41,DEBIT
05/05/2026,PLANET FITNESS #1123,$24.99,DEBIT
05/05/2026,METRO TRANSIT,$2.75,DEBIT
05/04/2026,STARBUCKS #2231,$5.12,DEBIT
05/04/2026,AMAZON MKTPLACE PMTS,$27.45,DEBIT
05/04/2026,METRO TRANSIT,$2.75,DEBIT
05/03/2026,STARBUCKS #2231,$5.76,DEBIT
05/03/2026,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
05/02/2026,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
05/01/2026,STARBUCKS #2231,$5.01,DEBIT
05/01/2026,SHELL OIL 5741,$43.36,DEBIT
05/01/2026,KROGER #412,$79.96,DEBIT
05/01/2026,METRO TRANSIT,$2.75,DEBIT
04/30/2026,STARBUCKS #2231,$5.71,DEBIT
04/30/2026,METRO TRANSIT,$2.75,DEBIT
04/29/2026,CHIPOTLE 1123,$24.44,DEBIT
04/29/2026,BLUE BOTTLE COFFEE,$5.04,DEBIT
04/29/2026,METRO TRANSIT,$2.75,DEBIT
04/28/2026,METRO TRANSIT,$2.75,DEBIT
04/27/2026,IKEA SEATTLE,$322.37,DEBIT
04/27/2026,AMAZON MKTPLACE PMTS,$28.44,DEBIT
04/27/2026,METRO TRANSIT,$2.75,DEBIT
04/26/2026,TRADER JOE'S #551,$52.27,DEBIT
04/26/2026,METRO TRANSIT,$2.75,DEBIT
04/25/2026,CHIPOTLE 1123,$16.89,DEBIT
04/25/2026,BLUE BOTTLE COFFEE,$6.49,DEBIT
04/24/2026,TARGET T-1432,$42.54,DEBIT
04/24/2026,METRO TRANSIT,$2.75,DEBIT
04/24/2026,ACME PAYROLL,"$2,841.50",CREDIT
04/23/2026,BLUE BOTTLE COFFEE,$5.82,DEBIT
04/23/2026,METRO TRANSIT,$2.75,DEBIT
04/22/2026,NYTIMES DIGITAL,$17.00,DEBIT
04/22/2026,CHIPOTLE 1123,$17.45,DEBIT
04/21/2026,STARBUCKS #2231,$5.79,DEBIT
04/21/2026,SHELL OIL 5741,$43.06,DEBIT
04/20/2026,UBER *TRIP,$36.17,DEBIT
04/20/2026,METRO WATER DEPT,$33.05,DEBIT
04/19/2026,THAI SPICE,$26.54,DEBIT
04/18/2026,UBER *TRIP,$17.24,DEBIT
04/18/2026,TRADER JOE'S #551,$93.56,DEBIT
04/18/2026,STARBUCKS #2231,$6.45,DEBIT
04/18/2026,HULU 877-8244858,$7.99,DEBIT
04/18/2026,METRO TRANSIT,$2.75,DEBIT
04/17/2026,PANERA BREAD #601,$20.63,DEBIT
04/16/2026,STARBUCKS #2231,$5.40,DEBIT
04/16/2026,METRO TRANSIT,$2.75,DEBIT
04/15/2026,CITY POWER & LIGHT,$88.32,DEBIT
04/14/2026,AMAZON MKTPLACE PMTS,$40.01,DEBIT
04/14/2026,METRO TRANSIT,$2.75,DEBIT
04/13/2026,UBER *TRIP,$27.72,DEBIT
04/12/2026,UBER *TRIP,$25.19,DEBIT
04/12/2026,SPOTIFY USA,$11.99,DEBIT
04/12/2026,PANERA BREAD #601,$25.64,DEBIT
04/12/2026,KROGER #412,$99.24,DEBIT
04/11/2026,STARBUCKS #2231,$4.56,DEBIT
04/11/2026,METRO TRANSIT,$2.75,DEBIT
04/10/2026,UBER *TRIP,$12.38,DEBIT
04/10/2026,METRO TRANSIT,$2.75,DEBIT
04/10/2026,COMCAST CABLE COMM,$69.99,DEBIT
04/09/2026,STARBUCKS #2231,$4.92,DEBIT
04/09/2026,SHELL OIL 5741,$40.55,DEBIT
04/09/2026,METRO TRANSIT,$2.75,DEBIT
04/09/2026,ACME PAYROLL,"$2,841.50",CREDIT
04/07/2026,WHOLE FOODS MKT,$69.11,DEBIT
04/07/2026,NETFLIX.COM,$15.49,DEBIT
04/07/2026,METRO TRANSIT,$2.75,DEBIT
04/06/2026,BLUE BOTTLE COFFEE,$4.68,DEBIT
04/06/2026,METRO TRANSIT,$2.75,DEBIT
04/05/2026,TRADER JOE'S #551,$85.46,DEBIT
04/05/2026,PLANET FITNESS #1123,$24.99,DEBIT
04/04/2026,UBER *TRIP,$17.55,DEBIT
04/04/2026,STARBUCKS #2231,$7.20,DEBIT
04/03/2026,THAI SPICE,$15.59,DEBIT
04/03/2026,STARBUCKS #2231,$5.43,DEBIT
04/03/2026,KROGER #412,$93.92,DEBIT
04/03/2026,APPLE.COM/BILL ICLOUD,$2.99,DEBIT
04/02/2026,THAI SPICE,$25.77,DEBIT
04/02/2026,STARBUCKS #2231,$4.52,DEBIT
04/02/2026,OAKWOOD APARTMENTS,"$1,450.00",DEBIT
04/02/2026,METRO TRANSIT,$2.75,DEBIT
04/01/2026,THAI SPICE,$18.01,DEBIT
03/31/2026,UBER *TRIP,$19.33,DEBIT
03/31/2026,METRO TRANSIT,$2.75,DEBIT
03/30/2026,STARBUCKS #2231,$5.55,DEBIT
03/30/2026,SHELL OIL 5741,$43.38,DEBIT
03/30/2026,METRO TRANSIT,$2.75,DEBIT
03/28/2026,KROGER #412,$61.08,DEBIT
03/28/2026,CHIPOTLE 1123,$18.18,DEBIT
03/27/2026,UBER *TRIP,$22.51,DEBIT
03/27/2026,METRO TRANSIT,$2.75,DEBIT
03/27/2026,ACME PAYROLL,"$2,841.50",CREDIT
03/26/2026,METRO TRANSIT,$2.75,DEBIT
03/25/2026,UBER *TRIP,$21.91,DEBIT
03/25/2026,STARBUCKS #2231,$6.74,DEBIT
03/25/2026,METRO TRANSIT,$2.75,DEBIT
03/24/2026,STARBUCKS #2231,$7.08,DEBIT
03/24/2026,METRO TRANSIT,$2.75,DEBIT
03/23/2026,BLUE BOTTLE COFFEE,$4.54,DEBIT
03/23/2026,METRO TRANSIT,$2.75,DEBIT
03/22/2026,TRADER JOE'S #551,$70.22,DEBIT
03/22/2026,THAI SPICE,$17.14,DEBIT
03/22/2026,NYTIMES DIGITAL,$17.00,DEBIT
03/22/2026,METRO TRANSIT,$2.75,DEBIT
03/21/2026,CHIPOTLE 1123,$13.65,DEBIT
03/20/2026,BLUE BOTTLE COFFEE,$6.15,DEBIT
03/20/2026,METRO WATER DEPT,$36.05,DEBIT
03/20/2026,METRO TRANSIT,$2.75,DEBIT
03/19/2026,STARBUCKS #2231,$6.63,DEBIT
03/19/2026,METRO TRANSIT,$2.75,DEBIT
03/18/2026,SHELL OIL 5741,$40.44,DEBIT
03/18/2026,HULU 877-8244858,$7.99,DEBIT
03/18/2026,METRO TRANSIT,$2.75,DEBIT
03/17/2026,METRO TRANSIT,$2.75,DEBIT
03/16/2026,THAI SPICE,$16.51,DEBIT
03/15/2026,METRO TRANSIT,$2.75,DEBIT
03/15/2026,CITY POWER & LIGHT,$107.59,DEBIT
03/14/2026,UBER *TRIP,$19.01,DEBIT
03/14/2026,BLUE BOTTLE COFFEE,$4.79,DEBIT
03/13/2026,BLUE BOTTLE COFFEE,$6.52,DEBIT
03/13/2026,AMAZON MKTPLACE PMTS,$48.08,DEBIT
03/12/2026,SPOTIFY USA,$11.99,DEBIT
03/12/2026,KROGER #412,$77.74,DEBIT
03/12/2026,CHIPOTLE 1123,$17.20,DEBIT
03/12/2026,METRO TRANSIT,$2.75,DEBIT
